HomeTeam,AwayTeam,market,probability_%,pro_tier,real_odds,match_date
Ajax,Excelsior,away_goals_under_25,96.2,PRO_STRONG,,2026-09-19
Ajax,Excelsior,goals_over_05,95.7,PRO_STRONG,,2026-09-19
Ajax,Excelsior,away_win_and_cards_under35,95.0,PRO_STRONG,,2026-09-19
Ajax,Excelsior,away_win_and_under_25,94.2,PRO_STRONG,,2026-09-19
Ajax,Excelsior,away_win_and_under_15,93.4,PRO_STRONG,,2026-09-19
Ajax,Excelsior,home_goals_over_05,92.2,PRO_STRONG,,2026-09-19
Ajax,Excelsior,dc_1x,91.5,PRO_STRONG,1.07,2026-09-19
Ajax,Excelsior,dc_x2_and_under_25,89.5,PRO_STRONG,,2026-09-19
Ajax,Excelsior,goals_over_15,88.6,PRO_STRONG,1.06,2026-09-19
Ajax,Excelsior,dc_12,85.9,PRO_STRONG,,2026-09-19
Ajax,Excelsior,home_win_either_half,85.3,PRO_STRONG,,2026-09-19
Ajax,Excelsior,dc_x2_and_under_15,84.2,PRO_STRONG,,2026-09-19
Ajax,Excelsior,away_goals_under_15,82.1,PRO_STRONG,,2026-09-19
Ajax,Excelsior,home_win,79.6,PRO_STRONG,1.25,2026-09-19
Ajax,Excelsior,goals_under_45,78.4,PRO_STRONG,,2026-09-19
Ajax,Excelsior,dc_1x_and_over_15,75.9,PRO_STRONG,,2026-09-19
Ajax,Excelsior,corners_under_115,75.8,PRO_STRONG,,2026-09-19
Ajax,Excelsior,home_win_and_corners_under95,74.1,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,home_goals_over_15,70.6,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,both_teams_carded,70.4,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,sot_over_65,70.3,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,corners_over_75,68.3,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,goals_over_25,67.8,PRO_MEDIUM,1.25,2026-09-19
Ajax,Excelsior,yellows_over_25,66.9,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,home_win_and_over_15,66.3,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,dc_12_and_over_25,64.6,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,sot_under_95,61.9,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,goals_under_35,60.9,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,sot_under_85,59.9,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,home_win_2h,59.5,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,dc_1x_and_over_25,58.9,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,away_goals_over_05,58.7,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,corners_over_85,57.6,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,home_win_1h,56.7,PRO_MEDIUM,,2026-09-19
Ajax,Excelsior,btts,55.9,PRO_MEDIUM,1.53,2026-09-19
Ajax,Excelsior,home_win_and_over_25,55.1,PRO_MEDIUM,,2026-09-19
Ajax,Willem Ii,away_goals_under_25,96.7,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,goals_over_05,96.0,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,away_win_and_cards_under35,95.9,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,away_win_and_under_25,94.8,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,away_win_and_under_15,94.1,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,dc_1x,93.8,PRO_STRONG,1.02,2026-09-15
Ajax,Willem Ii,home_goals_over_05,93.7,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,dc_x2_and_under_25,92.3,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,home_win_either_half,88.6,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,dc_x2_and_under_15,87.8,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,dc_12,87.3,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,goals_over_15,84.3,PRO_STRONG,1.06,2026-09-15
Ajax,Willem Ii,away_goals_under_15,83.9,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,home_win,81.1,PRO_STRONG,1.12,2026-09-15
Ajax,Willem Ii,dc_1x_and_over_15,81.0,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,home_win_and_corners_under95,76.2,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,corners_under_115,75.8,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,home_goals_over_15,75.7,PRO_STRONG,,2026-09-15
Ajax,Willem Ii,goals_under_45,72.5,PRO_MEDIUM,,2026-09-15
Ajax,Willem Ii,home_win_and_over_15,71.9,PRO_MEDIUM,,2026-09-15
Ajax,Willem Ii,both_teams_carded,71.3,PRO_MEDIUM,,2026-09-15
Ajax,Willem Ii,sot_over_65,69.9,PRO_MEDIUM,,2026-09-15
Ajax,Willem Ii,yellows_over_25,67.9,PRO_MEDIUM,,2026-09-15
Ajax,Willem Ii,dc_12_and_over_25,66.0,PRO_MEDIUM,,2026-09-15
Ajax,Willem Ii,corners_over_75,65.9,PRO_MEDIUM,,2026-09-15
Ajax,Willem Ii,home_win_2h,65.4,PRO_MEDIUM,,2026-09-15
Ajax,Willem Ii,goals_over_25,65.0,PRO_MEDIUM,1.22,2026-09-15
Ajax,Willem Ii,sot_under_95,61.9,PRO_MEDIUM,,2026-09-15
Ajax,Willem Ii,dc_1x_and_over_25,61.8,PRO_MEDIUM,,2026-09-15
Ajax,Willem Ii,home_win_1h,60.5,PRO_MEDIUM,,2026-09-15
Ajax,Willem Ii,home_win_and_over_25,60.2,PRO_MEDIUM,,2026-09-15
Ajax,Willem Ii,sot_under_85,59.9,PRO_MEDIUM,,2026-09-15
Ajax,Willem Ii,goals_under_35,59.1,PRO_MEDIUM,,2026-09-15
Ajax,Willem Ii,home_score_both_halves,55.1,PRO_MEDIUM,,2026-09-15
Alaves,Valencia,away_goals_under_25,93.5,PRO_STRONG,,2026-09-15
Alaves,Valencia,goals_over_05,92.8,PRO_STRONG,,2026-09-15
Alaves,Valencia,away_win_and_under_25,90.6,PRO_STRONG,,2026-09-15
Alaves,Valencia,goals_under_45,89.1,PRO_STRONG,,2026-09-15
Alaves,Valencia,away_win_and_under_15,88.1,PRO_STRONG,,2026-09-15
Alaves,Valencia,away_win_and_cards_under35,87.2,PRO_STRONG,,2026-09-15
Alaves,Valencia,dc_x2_and_under_25,86.8,PRO_STRONG,,2026-09-15
Alaves,Valencia,both_teams_carded,86.7,PRO_STRONG,,2026-09-15
Alaves,Valencia,dc_1x,84.8,PRO_STRONG,1.17,2026-09-15
Alaves,Valencia,home_goals_over_05,83.7,PRO_STRONG,,2026-09-15
Alaves,Valencia,home_goals_under_25,81.5,PRO_STRONG,,2026-09-15
Alaves,Valencia,goals_under_35,79.3,PRO_STRONG,,2026-09-15
Alaves,Valencia,away_goals_under_15,77.7,PRO_STRONG,,2026-09-15
Alaves,Valencia,home_win_and_under_25,76.2,PRO_STRONG,,2026-09-15
Alaves,Valencia,sot_under_95,76.2,PRO_STRONG,,2026-09-15
Alaves,Valencia,corners_over_75,76.0,PRO_STRONG,,2026-09-15
Alaves,Valencia,booking_pts_over_35,74.7,PRO_MEDIUM,,2026-09-15
Alaves,Valencia,corners_under_115,73.2,PRO_MEDIUM,,2026-09-15
Alaves,Valencia,home_win_and_corners_under95,72.6,PRO_MEDIUM,,2026-09-15
Alaves,Valencia,dc_12,71.3,PRO_MEDIUM,,2026-09-15
Alaves,Valencia,goals_over_15,71.1,PRO_MEDIUM,1.4,2026-09-15
Alaves,Valencia,dc_x2_and_under_15,69.0,PRO_MEDIUM,,2026-09-15
Alaves,Valencia,corners_over_85,65.7,PRO_MEDIUM,,2026-09-15
Alaves,Valencia,dc_1x_and_under_25,65.3,PRO_MEDIUM,,2026-09-15
Alaves,Valencia,sot_over_65,63.9,PRO_MEDIUM,,2026-09-15
Alaves,Valencia,home_win_either_half,63.0,PRO_MEDIUM,,2026-09-15
Alaves,Valencia,dc_12_and_under_25,62.1,PRO_MEDIUM,,2026-09-15
Alaves,Valencia,sot_under_85,61.2,PRO_MEDIUM,,2026-09-15
Alaves,Valencia,dc_1x_and_over_15,61.2,PRO_MEDIUM,,2026-09-15
Alaves,Valencia,home_win_and_under_15,60.4,PRO_MEDIUM,,2026-09-15
Alaves,Valencia,away_goals_over_05,59.1,PRO_MEDIUM,,2026-09-15
Alverca,Rio Ave,goals_over_05,92.6,PRO_STRONG,,2026-09-19
Alverca,Rio Ave,away_goals_under_25,88.8,PRO_STRONG,,2026-09-19
