HomeTeam,AwayTeam,match_date,market,probability_%,pro_tier,real_odds,ev_%
Nacional,Famalicao,2026-09-19,away_win,60.4,PRO_MEDIUM,2.05,23.8
Twente,PSV,2026-09-20,away_win,55.4,PRO_MEDIUM,2.15,19.1
St Mirren,Dundee United,2026-09-19,goals_under_25,56.2,PRO_MEDIUM,2.1,18.0
Fulham,Man United,2026-09-20,away_win,57.8,PRO_MEDIUM,1.95,12.7
Kalamata,Panathinaikos,2026-09-20,goals_over_25,56.1,PRO_MEDIUM,2.0,12.2
Brighton,Arsenal,2026-09-19,goals_over_25,62.2,PRO_MEDIUM,1.8,12.0
Malaga,Villarreal,2026-09-17,away_win,57.7,PRO_MEDIUM,1.9,9.6
Osasuna,Vallecano,2026-09-19,goals_under_25,63.3,PRO_MEDIUM,1.73,9.5
Sparta Rotterdam,Heerenveen,2026-09-19,dc_x2,70.9,PRO_MEDIUM,1.53,8.5
Atromitos,Kifisia,2026-09-19,goals_under_25,61.8,PRO_MEDIUM,1.75,8.1
Toulouse,Le Havre,2026-09-19,home_win,60.0,PRO_MEDIUM,1.8,8.0
Wrexham,Southampton,2026-09-19,dc_12,81.2,PRO_STRONG,1.33,8.0
Hibernian,Aberdeen,2026-09-19,home_win,61.6,PRO_MEDIUM,1.75,7.8
Como,Parma,2026-09-14,goals_over_25,64.5,PRO_MEDIUM,1.67,7.7
Aris,Iraklis,2026-09-19,home_win,67.1,PRO_MEDIUM,1.6,7.4
Willem Ii,For Sittard,2026-09-19,dc_x2,74.3,PRO_MEDIUM,1.44,7.0
Monza,Sassuolo,2026-09-18,goals_under_25,55.8,PRO_MEDIUM,1.91,6.6
Celtic,Rangers,2026-09-20,dc_x2,55.7,PRO_MEDIUM,1.91,6.4
Twente,PSV,2026-09-20,dc_x2,73.8,PRO_MEDIUM,1.44,6.3
Ath Madrid,Osasuna,2026-09-16,home_win,75.8,PRO_STRONG,1.4,6.1
Middlesbrough,Millwall,2026-09-15,home_win,68.2,PRO_MEDIUM,1.55,5.7
Bournemouth,Liverpool,2026-09-20,dc_12,82.6,PRO_STRONG,1.28,5.7
Nacional,Famalicao,2026-09-19,dc_12,81.2,PRO_STRONG,1.3,5.6
Kortrijk,Waasland-Beveren,2026-09-20,dc_x2,70.3,PRO_MEDIUM,1.5,5.4
Gaziantep,Fenerbahce,2026-09-14,goals_over_25,63.1,PRO_MEDIUM,1.67,5.4
Fulham,Man United,2026-09-20,dc_12,82.1,PRO_STRONG,1.28,5.1
Rio Ave,Estrela,2026-09-14,goals_under_25,61.7,PRO_MEDIUM,1.7,4.9
Ein Frankfurt,Freiburg,2026-09-19,dc_x2,64.7,PRO_MEDIUM,1.62,4.8
Frosinone,Como,2026-09-20,away_win,68.4,PRO_MEDIUM,1.53,4.7
Moreirense,Maritimo,2026-09-14,dc_x2,72.4,PRO_MEDIUM,1.44,4.3
Stuttgart,Dortmund,2026-09-19,dc_12,85.2,PRO_STRONG,1.22,3.9
Villarreal,Levante,2026-09-20,home_win,67.0,PRO_MEDIUM,1.55,3.9
Angers,Troyes,2026-09-19,goals_under_25,60.0,PRO_MEDIUM,1.73,3.8
Trabzonspor,Galatasaray,2026-09-19,dc_12,85.1,PRO_STRONG,1.22,3.8
QPR,Preston,2026-09-19,dc_12,83.0,PRO_STRONG,1.25,3.7
