HomeTeam,AwayTeam,market,probability_%,pro_tier,real_odds,ev_%,match_date
Nacional,Famalicao,away_win,60.4,PRO_MEDIUM,2.05,23.8,2026-09-19
Twente,PSV,away_win,55.4,PRO_MEDIUM,2.15,19.1,2026-09-20
St Mirren,Dundee United,goals_under_25,55.8,PRO_MEDIUM,2.1,17.2,2026-09-19
Kalamata,Panathinaikos,goals_over_25,57.5,PRO_MEDIUM,2.0,15.0,2026-09-20
Getafe,Malaga,goals_over_15,72.8,PRO_MEDIUM,1.57,14.3,2026-09-20
Fulham,Man United,away_win,57.8,PRO_MEDIUM,1.95,12.7,2026-09-20
Stoke,Sheffield United,goals_under_25,55.4,PRO_MEDIUM,2.0,10.8,2026-09-19
Malaga,Villarreal,away_win,57.7,PRO_MEDIUM,1.9,9.6,2026-09-17
Toulouse,Le Havre,home_win,60.0,PRO_MEDIUM,1.8,8.0,2026-09-19
Sparta Rotterdam,Heerenveen,dc_x2,70.6,PRO_MEDIUM,1.53,8.0,2026-09-19
Hibernian,Aberdeen,home_win,61.6,PRO_MEDIUM,1.75,7.8,2026-09-19
Aris,Iraklis,home_win,67.1,PRO_MEDIUM,1.6,7.4,2026-09-19
Rio Ave,Estrela,goals_under_25,63.2,PRO_MEDIUM,1.7,7.4,2026-09-14
Valencia,Sociedad,goals_under_25,56.2,PRO_MEDIUM,1.91,7.3,2026-09-20
Celtic,Rangers,dc_x2,56.1,PRO_MEDIUM,1.91,7.2,2026-09-20
Atromitos,Kifisia,goals_under_25,61.0,PRO_MEDIUM,1.75,6.7,2026-09-19
Osasuna,Vallecano,goals_under_25,61.6,PRO_MEDIUM,1.73,6.6,2026-09-19
Ath Madrid,Osasuna,home_win,75.8,PRO_STRONG,1.4,6.1,2026-09-16
Willem Ii,For Sittard,dc_x2,73.5,PRO_MEDIUM,1.44,5.8,2026-09-19
Middlesbrough,Millwall,home_win,68.2,PRO_MEDIUM,1.55,5.7,2026-09-15
Betis,Getafe,goals_over_15,73.1,PRO_MEDIUM,1.44,5.3,2026-09-17
Twente,PSV,dc_x2,73.1,PRO_MEDIUM,1.44,5.3,2026-09-20
Frosinone,Como,away_win,68.4,PRO_MEDIUM,1.53,4.7,2026-09-20
Ein Frankfurt,Freiburg,dc_x2,64.4,PRO_MEDIUM,1.62,4.3,2026-09-19
Falkirk,Hearts,goals_over_25,60.2,PRO_MEDIUM,1.73,4.1,2026-09-15
Kortrijk,Waasland-Beveren,dc_x2,69.4,PRO_MEDIUM,1.5,4.1,2026-09-20
Villarreal,Levante,home_win,67.0,PRO_MEDIUM,1.55,3.9,2026-09-20
Como,Parma,goals_over_25,62.2,PRO_MEDIUM,1.67,3.9,2026-09-14
Juventus,Atalanta,home_win,62.8,PRO_MEDIUM,1.65,3.6,2026-09-20
Paderborn,Hoffenheim,away_win,62.7,PRO_MEDIUM,1.65,3.5,2026-09-20
Gaziantep,Fenerbahce,btts,57.5,PRO_MEDIUM,1.8,3.5,2026-09-14
Getafe,Malaga,dc_x2,60.8,PRO_MEDIUM,1.7,3.4,2026-09-20
Osasuna,Vallecano,dc_x2,63.8,PRO_MEDIUM,1.62,3.4,2026-09-19
Estoril,Casa Pia,home_win,57.3,PRO_MEDIUM,1.8,3.1,2026-09-20
Brighton,Arsenal,away_win,62.4,PRO_MEDIUM,1.65,3.0,2026-09-19
Levadeiakos,Olympiakos,goals_over_25,57.2,PRO_MEDIUM,1.8,3.0,2026-09-20
Santa Clara,Sp Braga,dc_x2,79.0,PRO_STRONG,1.3,2.7,2026-09-20
Moreirense,Maritimo,dc_x2,71.3,PRO_MEDIUM,1.44,2.7,2026-09-14
Parma,Genoa,goals_over_15,68.4,PRO_MEDIUM,1.5,2.6,2026-09-20
Stoke,Sheffield United,dc_x2,66.9,PRO_MEDIUM,1.53,2.4,2026-09-19
Sp Braga,Estoril,home_win,75.3,PRO_STRONG,1.36,2.4,2026-09-14
Estoril,Casa Pia,dc_1x,84.6,PRO_STRONG,1.21,2.4,2026-09-20
Guimaraes,Moreirense,home_win,63.2,PRO_MEDIUM,1.62,2.4,2026-09-20
Milan,Lecce,goals_over_25,59.1,PRO_MEDIUM,1.73,2.2,2026-09-20
Espanol,Elche,dc_1x,83.7,PRO_STRONG,1.22,2.1,2026-09-18
Ath Madrid,Osasuna,dc_1x,92.8,PRO_STRONG,1.1,2.1,2026-09-16
Kalamata,Panathinaikos,goals_over_15,78.4,PRO_STRONG,1.3,1.9,2026-09-20
